order_num,order_type,cust_name,prod_number,prod_name,quantity,price,discount,order_total
1100968,Retail,Richy Dews,RK606,BYOR-3535,1,225,0,225
1100969,Retail,Raimondo Goretti,DS307,MICR-564K Drone,1,499,0,499
1100970,Retail,Rebeca Overington,BP106,Hexacopter Drone Blueprint,1,8.99,0,8.99
1100971,Wholesale,Hettinger and Sons,DS306,DX-145 Drone,12,250,50,2950
1100972,Retail,Joya Mountstephen,DK204,BYOD-300,1,89,0,89
1100973,Retail,Modesta Brissenden,EB521,Understanding Artificial Intelligence,1,19.5,0,19.5
1100974,Wholesale,Corkery International,DK204,BYOD-300,81,89,17.8,7191.2
1100975,Wholesale,Corkery International,DS302,DC-304 Drone,3,395,79,1106
1100976,Wholesale,Feest Inc.,BP101,All Eyes Drone Blueprint,7,9.99,2,67.93
1100977,Retail,Cordelia Aspland,EB513,Photograph Drones,1,14.99,0,14.99
1100978,Wholesale,Daugherty Group,RK605,BYOR-3000,9,214,42.8,1883.2
1100979,Retail,Geremy Krajcik,RK606,BYOR-3535,1,225,0,225
1100980,Wholesale,Howe LLC,BP104,Cat Robot Blueprint,8,4.99,1,38.92
1100981,Wholesale,Schuppe Inc.,EB514,Polar Robots,12,23.99,4.8,283.08
1100982,Wholesale,Kiehn LLC,TV808,Robotic Essentials,6,34.99,7,202.94
1100983,Retail,Legros Inc.,EB514,Polar Robots,24,23.99,0,575.76
1100984,Wholesale,Kutch Inc.,TV808,Robotic Essentials,10,34.99,7,342.9
1100985,Retail,Hazlett Berisford,BP107,Ladybug Robot Blueprint,1,12,0,12
1100986,Wholesale,Fahey Forever Inc..,BP107,Ladybug Robot Blueprint,11,12,2.4,129.6
1100987,Wholesale,Reilly LLC,TV806,Mapping with Drones,11,49,9.8,529.2
1100988,Wholesale,Beahan Inc.,EB509,GPS Drones,11,19.99,4,215.89
1100989,Wholesale,Kassulke-Schneider,TV804,Drone Video Techniques,3,37.99,7.6,106.37
1100990,Retail,Ezekiel Sawney,BP105,Creature Robot Arms Blueprint,1,12,0,12
1100991,Retail,Harvey Gottlieb,TV813,Virtual Reality Basics,1,29.99,0,29.99
1100992,Retail,Todd Gleichner,RK603,BYOR-1500,3,189,0,567
1100993,Retail,Jaime Gilling,RS702,MICR-23K Robot,1,899,0,899
1100994,Wholesale,Zemlak Inc.,DS303,DTD-7000 Drone,8,450,90,3510
1100995,Wholesale,Romaguera LLC,RK603,BYOR-1500,22,189,37.8,4120.2
1100996,Wholesale,Koss Industries,BP102,Bsquare Robot Blueprint,6,8.99,1.8,52.14
1100997,Wholesale,Boehm Inc.,BP104,Cat Robot Blueprint,13,4.99,1,63.87
1100998,Retail,Luz O'Donoghue,TV809,Understanding 3D Printing,1,42.99,0,42.99
1100999,Wholesale,Nolan Inc.,DK209,BYOD-550,89,179,35.8,15895.2
1101000,Retail,Paula Muller,EB513,Photograph Drones,1,14.99,0,14.99
1101001,Wholesale,Nikolaus LLC,DK209,BYOD-550,104,179,35.8,18580.2
1101002,Wholesale,Wolff LLC,TV808,Robotic Essentials,8,34.99,7,272.92
1101003,Retail,Caty Howler,BP102,Bsquare Robot Blueprint,1,8.99,0,8.99
1101004,Retail,Ilaire Selvester,BP106,Hexacopter Drone Blueprint,1,8.99,0,8.99
1101005,Retail,Ariadne Bohan,TV801,Aerial Security,1,36.99,0,36.99
1101006,Wholesale,Hilpert Industries,EB509,GPS Drones,13,19.99,4,255.87
1101007,Wholesale,Kassulke-Schneider,EB502,Building Your First Robot,3,24.95,4.99,69.86
1101008,Retail,Tamqrah Carrane,EB507,Drone Building Essentials,1,13.99,0,13.99
1101009,Wholesale,Pixelford Photography,RK603,BYOR-1500,3,189,37.8,529.2
1101010,Retail,Staford Antoniak,TV804,Drone Video Techniques,1,37.99,0,37.99
1101011,Retail,Donielle Bumpass,TV801,Aerial Security,1,36.99,0,36.99
1101012,Retail,Jody Neggrini,DK203,BYOD-220,1,69,0,69
1101013,Wholesale,Vandervort LLC,TV813,Virtual Reality Basics,10,29.99,6,293.9
1101014,Retail,Elisabet Sproat,RK605,BYOR-3000,1,214,0,214
1101015,Wholesale,Rosenbaum LLC,DS306,DX-145 Drone,13,250,50,3200
1101016,Wholesale,Blick Inc.,DK204,BYOD-300,4,89,17.8,338.2
1101017,Retail,Chrisse Logesdale,TV808,Robotic Essentials,1,34.99,0,34.99
1101018,Wholesale,Daugherty Group,RK602,BYOR-1000,44,189,37.8,8278.2
1101019,Wholesale,Thiel Group,DK206,BYOD-400,67,119,23.8,7949.2
1101020,Retail,Kenny Decroix,BP107,Ladybug Robot Blueprint,1,12,0,12
1101021,Retail,Courtenay Attle,RK603,BYOR-1500,2,189,0,378
1101022,Retail,Allyn Palatino,TV809,Understanding 3D Printing,1,42.99,0,42.99
1101023,Retail,Mellie Vasyatkin,EB507,Drone Building Essentials,1,13.99,0,13.99
1101024,Retail,Boycey Binford,EB509,GPS Drones,1,19.99,0,19.99
1101025,Retail,Vernen Dodswell,DS306,DX-145 Drone,1,250,0,250
1101026,Wholesale,Harris Inc.,DK206,BYOD-400,8,119,23.8,928.2
1101027,Retail,Germaine Silk,EB507,Drone Building Essentials,1,13.99,0,13.99
1101028,Wholesale,Torp Inc.,EB520,Understanding Arduino,9,17.5,3.5,154
1101029,Wholesale,Kuvalis Group,BP109,QuadroCopter Blueprint,7,10.99,2.2,74.73
1101030,Wholesale,Blue Sky Kites,TV808,Robotic Essentials,10,34.99,7,342.9
1101031,Retail,Leopold Mallindine,EB517,SCARA Robots,1,19.5,0,19.5
1101032,Wholesale,Streich LLC,EB516,RTF Drones,10,16.99,3.4,166.5
1101033,Wholesale,Schaefer Inc.,RK603,BYOR-1500,29,189,37.8,5443.2
1101034,Retail,Hui Bashirian,RS702,MICR-23K Robot,1,899,0,899
1101035,Wholesale,Gottlieb-Jenkins,DS307,MICR-564K Drone,8,499,99.8,3892.2
1101036,Retail,David Powlowski,EB509,GPS Drones,1,19.99,0,19.99
1101037,Wholesale,Cartwright LLC,BP105,Creature Robot Arms Blueprint,3,12,2.4,33.6
1101038,Wholesale,Wehner and Sons,EB503,Building Your Own Drone,7,24.99,5,169.93
1101039,Wholesale,Stoltenberg LLC,EB507,Drone Building Essentials,10,13.99,2.8,137.1
1101040,Retail,Schiller LLC,TV805,Industrial 3D Printing,3,49,0,147
1101041,Retail,Peg Claire,DS306,DX-145 Drone,1,250,0,250
1101042,Wholesale,Raynor LLC,DS305,DTI-84 Drone,6,455,91,2639
1101043,Wholesale,O'Kon Inc.,BP106,Hexacopter Drone Blueprint,12,8.99,1.8,106.08
1101044,Wholesale,Kutch Inc.,TV806,Mapping with Drones,18,49,9.8,872.2
1101045,Retail,Nat Lang,BP109,QuadroCopter Blueprint,1,10.99,0,10.99
1101046,Wholesale,LMD Resources,DK203,BYOD-220,5,69,13.8,331.2
1101047,Retail,Louis Rodriguez,BP107,Ladybug Robot Blueprint,1,12,0,12
1101048,Retail,Sallyann Simmank,DK201,BYOD-100,1,54,0,54
1101049,Wholesale,Marvin Inc.,RK602,BYOR-1000,11,189,37.8,2041.2
1101050,Wholesale,Robel Inc.,TV803,Cloud Computing,5,29.99,6,143.95
1101051,Retail,Alaric Blanchard,BP110,Sleepy Eye Blueprint,1,11.99,0,11.99
1101052,Wholesale,Yost LLC,EB511,Helicopter Drones,81,20.95,4.19,1692.76
1101053,Wholesale,Bosco Group,RK606,BYOR-3535,3,225,45,630
1101054,Retail,Tonni Schumm,DK201,BYOD-100,3,54,0,162
1101055,Wholesale,Jacobi LLC,DS306,DX-145 Drone,6,250,50,1450
1101056,Wholesale,Rath LLC,EB521,Understanding Artificial Intelligence,10,19.5,3.9,191.1
1101057,Retail,Sibyl Siret,RK603,BYOR-1500,1,189,0,189
1101058,Retail,Jessika Gaspard,EB520,Understanding Arduino,1,17.5,0,17.5
1101059,Retail,Giacobo Knightsbridge,RK603,BYOR-1500,1,189,0,189
1101060,Wholesale,Donnelly Group,RK606,BYOR-3535,4,225,45,855
1101061,Wholesale,Bauch Group,EB503,Building Your Own Drone,11,24.99,5,269.89
1101062,Wholesale,Blue Sky Kites,TV806,Mapping with Drones,7,49,9.8,333.2
1101063,Wholesale,LMD Resources,BP110,Upside Down Robot Blueprint,3,12,2.4,33.6
1101064,Retail,Kerluke Inc.,DK204,BYOD-300,85,89,0,7565
1101065,Retail,Goober Louw,DS301,DA-SA702 Drone,1,399,0,399
1101066,Retail,Gregory Sikora,EB505,Delivery Drones,1,14.99,0,14.99
1101067,Retail,Hansiain Suttaby,EB506,Delta Robots,1,16.99,0,16.99
1101068,Retail,Madalyn Dimnage,EB508,Fixed Wing Drones,1,15.5,0,15.5
1101069,Wholesale,Deckow Inc.,EB520,Understanding Arduino,3,17.5,3.5,49
1101070,Wholesale,Zoo Technologies,BP108,Panda Robot Blueprint,8,7.99,1.6,62.32
1101071,Wholesale,Donnelly Group,EB501,Articulated Robots,9,23.99,4.8,211.11
1101072,Retail,Corey Flecknoe,BP109,QuadroCopter Blueprint,1,10.99,0,10.99
1101073,Retail,Ellen Braun,TV808,Robotic Essentials,1,34.99,0,34.99
1101074,Retail,Romain Roston,DK201,BYOD-100,1,54,0,54
1101075,Retail,Peter Grimes,TV806,Mapping with Drones,1,49,0,49
1101076,Wholesale,The Orn Company,DS301,DA-SA702 Drone,7,399,79.8,2713.2
1101077,Wholesale,Balistreri Group,DS303,DTD-7000 Drone,8,450,90,3510
1101078,Wholesale,Wintheiser Inc.,TV809,Understanding 3D Printing,6,42.99,8.6,249.34
1101079,Wholesale,Kuvalis Group,BP110,Sleepy Eye Blueprint,32,11.99,2.4,381.28
1101080,Wholesale,Waelchi Inc.,EB521,Understanding Artificial Intelligence,6,19.5,3.9,113.1
1101081,Wholesale,Hamill Inc.,TV806,Mapping with Drones,3,49,9.8,137.2
1101082,Wholesale,Effertz LLC,EB518,Single Rotor Drones,8,14.99,3,116.92
1101083,Retail,Myrilla Deehan,RK603,BYOR-1500,1,189,0,189
1101084,Retail,Norry Colleymore,EB521,Understanding Artificial Intelligence,1,19.5,0,19.5
1101085,Wholesale,Wintheiser Inc.,BP108,Panda Robot Blueprint,10,7.99,1.6,78.3
1101086,Wholesale,Bashirian International,EB513,Photograph Drones,9,14.99,3,131.91
1101087,Retail,Timothy Weissnat,EB521,Understanding Artificial Intelligence,1,19.5,0,19.5
1101088,Wholesale,Cremin LLC,DS302,DC-304 Drone,25,395,79,9796
1101089,Wholesale,Lehner Inc.,BP101,All Eyes Drone Blueprint,99,9.99,2,987.01
1101090,Wholesale,Herzog Group,RK606,BYOR-3535,58,223,44.6,12889.4
1101091,Wholesale,Treutel Group,RS707,RXW-9807 Robot,7,599,119.8,4073.2
1101092,Retail,Harriot Lempenny,TV812,Understanding Raspberry PI,1,28.99,0,28.99
1101093,Wholesale,Stroman Inc.,TV806,Mapping with Drones,10,49,9.8,480.2
1101094,Retail,Denis Whillock,RK603,BYOR-1500,1,189,0,189
1101095,Retail,Carree Weldon,DS303,DTD-7000 Drone,1,450,0,450
1101096,Wholesale,Lockman Group,BP104,Cat Robot Blueprint,10,4.99,1,48.9
1101097,Wholesale,Volkman LLC,EB508,Fixed Wing Drones,9,15.5,3.1,136.4
1101098,Wholesale,Hammes Inc.,DK209,BYOD-550,3,179,35.8,501.2
1101099,Retail,Devin Tremblay,EB509,GPS Drones,1,19.99,0,19.99
1101100,Retail,Roxi Foro,DS303,DTD-7000 Drone,1,450,0,450
1101101,Wholesale,Sauer AI Tech,TV809,Understanding 3D Printing,10,42.99,8.6,421.3
1101102,Retail,Schiller LLC,EB502,Building Your First Robot,60,24.95,0,1497
1101103,Wholesale,Feest Inc.,EB514,Polar Robots,4,23.99,4.8,91.16
1101104,Wholesale,Moore LLC,TV807,Open Source Code,9,32.95,6.59,289.96
1101105,Retail,Caryn Callington,EB508,Fixed Wing Drones,1,15.5,0,15.5
1101106,Retail,Reggie Gleason,BP104,Cat Robot Blueprint,1,4.99,0,4.99
1101107,Wholesale,Metz Group,EB521,Understanding Artificial Intelligence,17,19.5,3.9,327.6
1101108,Wholesale,Stoltenberg LLC,RK606,BYOR-3535,7,224,44.8,1523.2
1101109,Wholesale,Schaefer Inc.,DK208,BYOD-500,5,167,33.4,801.6
1101110,Wholesale,Frami LLC,DK203,BYOD-220,8,69,13.8,538.2
1101111,Retail,Reina Heller,RK602,BYOR-1000,3,189,0,567
1101112,Wholesale,Murazik Inc.,DK209,BYOD-550,12,179,35.8,2112.2
1101113,Retail,Linzy Guinery,TV802,AI for Educators,1,49.95,0,49.95
1101114,Retail,Cami Adlem,RK605,BYOR-3000,1,214,0,214
1101115,Retail,Tamarra Brownlie,DS302,DC-304 Drone,1,395,0,395
1101116,Retail,Margarethe Whates,TV809,Understanding 3D Printing,1,42.99,0,42.99
1101117,Retail,Irwin Rable,DK206,BYOD-400,1,119,0,119
1101118,Wholesale,Smith Technologies,BP102,Bsquare Robot Blueprint,103,8.99,1.8,924.17
1101119,Wholesale,Bradtke Inc.,DK204,BYOD-300,9,89,17.8,783.2
1101120,Wholesale,Smith Technologies,TV813,Virtual Reality Basics,6,29.99,6,173.94
1101121,Wholesale,Blue Sky Kites,RK603,BYOR-1500,11,189,37.8,2041.2
1101122,Wholesale,Boehm Inc.,TV811,Understanding Drone Regulations,3,27.5,5.5,77
1101123,Wholesale,Mohr Group,RK603,BYOR-1500,6,189,37.8,1096.2
1101124,Wholesale,Kohler LLC,DS306,DX-145 Drone,6,250,50,1450
1101125,Retail,Idaline Lagadu,EB507,Drone Building Essentials,1,13.99,0,13.99
1101126,Retail,Kaylyn Stonner,DK201,BYOD-100,1,54,0,54
1101127,Wholesale,Spinka LLC,EB509,GPS Drones,8,19.99,4,155.92
1101128,Wholesale,Gleason LLC,DK209,BYOD-550,11,179,35.8,1933.2
1101129,Retail,Joanne Klein-Satterfield,RK603,BYOR-1500,1,189,0,189
1101130,Wholesale,Waelchi Inc.,EB520,Understanding Arduino,3,17.5,3.5,49
1101131,Retail,Eldon Eloi,BP110,Sleepy Eye Blueprint,1,11.99,0,11.99
1101132,Wholesale,Bradtke Inc.,EB518,Single Rotor Drones,40,14.99,3,596.6
1101133,Retail,Tony Eichmann,RS705,RQTE-554 Robot,1,684,0,684
1101134,Wholesale,Romaguera LLC,BP101,All Eyes Drone Blueprint,102,9.99,2,1016.98
1101135,Wholesale,Hessel LLC,EB508,Fixed Wing Drones,7,15.5,3.1,105.4
1101136,Retail,Michelina Jennick,EB512,Multi Rotor Drones,1,24.95,0,24.95
1101137,Wholesale,Wyman Institute,RK602,BYOR-1000,10,189,37.8,1852.2
1101138,Wholesale,Romaguera LLC,DS306,DX-145 Drone,4,250,50,950
1101139,Retail,Matty Sueter,EB501,Articulated Robots,1,23.99,0,23.99
1101140,Retail,Danice Drains,EB511,Helicopter Drones,1,20.95,0,20.95
1101141,Wholesale,Kuhn Group,DK206,BYOD-400,72,119,23.8,8544.2
1101142,Retail,Rodi Conner,EB521,Understanding Artificial Intelligence,1,19.5,0,19.5
1101143,Wholesale,Kuvalis Group,RK607,BYOR-4005,10,245,49,2401
1101144,Retail,Jyoti Edgell,EB502,Building Your First Robot,1,24.95,0,24.95
1101145,Wholesale,D'Amore LLC,EB509,GPS Drones,7,19.99,4,135.93
1101146,Wholesale,Murazik Inc.,EB508,Fixed Wing Drones,5,15.5,3.1,74.4
1101147,Wholesale,Marks Inc.,BP106,Hexacopter Drone Blueprint,4,8.99,1.8,34.16
1101148,Wholesale,Green-Shields,RS702,MICR-23K Robot,6,899,179.8,5214.2
1101149,Retail,Steph Cartwright,RS707,RXW-9807 Robot,1,599,0,599
1101150,Wholesale,Treutel Group,TV813,Virtual Reality Basics,109,29.99,6,3262.91
1101151,Retail,Susan Thiel,DK204,BYOD-300,1,89,0,89
1101152,Wholesale,Koss Industries,RS703,RCB-889 Robot,7,549,109.8,3733.2
1101153,Wholesale,Hahn-Hand,DS307,MICR-564K Drone,6,499,99.8,2894.2
1101154,Wholesale,Sanford Group,TV802,AI for Educators,2,49.95,9.99,89.91
1101155,Wholesale,D'Amore LLC,TV806,Mapping with Drones,12,49,9.8,578.2
1101156,Retail,Greg Collier,EB519,Spherical Robots,1,16.75,0,16.75
1101157,Wholesale,The Orn Company,TV813,Virtual Reality Basics,20,29.99,6,593.8
1101158,Retail,Vern Hodkiewicz,DS306,DX-145 Drone,1,250,0,250
1101159,Retail,Sybila Grossier,RK605,BYOR-3000,1,214,0,214
1101160,Wholesale,Murazik Inc.,TV805,Industrial 3D Printing,11,49,9.8,529.2
1101161,Wholesale,Grady Inc.,BP104,Cat Robot Blueprint,5,4.99,1,23.95
1101162,Retail,Pen Stockoe,TV805,Industrial 3D Printing,1,49,0,49
1101163,Wholesale,LMD Resources,DK203,BYOD-220,8,69,13.8,538.2
1101164,Retail,Denny Harvey-Moore,TV805,Industrial 3D Printing,1,49,0,49
1101165,Retail,Gabriell Blamires,BP107,Ladybug Robot Blueprint,1,12,0,12
1101166,Wholesale,Ratke and Sons,TV802,AI for Educators,5,49.95,9.99,239.76
1101167,Retail,Bengt Ennew,EB512,Multi Rotor Drones,1,24.95,0,24.95
1101168,Retail,Paul Goldner,RK606,BYOR-3535,4,224,0,896
1101169,Wholesale,Green-Shields,TV808,Robotic Essentials,10,34.99,7,342.9
1101170,Wholesale,Thompson Inc.,DK201,BYOD-100,99,54,10.8,5335.2
1101171,Wholesale,Wilderman Inc.,BP102,Bsquare Robot Blueprint,12,8.99,1.8,106.08
1101172,Wholesale,Stokes Electronics,EB506,Delta Robots,9,16.99,3.4,149.51
1101173,Retail,Resse Moen,EB511,Helicopter Drones,1,20.95,0,20.95
1101174,Retail,Alexis Armstrong,EB509,GPS Drones,1,19.99,0,19.99
1101175,Wholesale,Parker Group,RS706,RWW-75 Robot,5,883,176.6,4238.4
1101176,Wholesale,Murphy LLC,EB508,Fixed Wing Drones,7,15.5,3.1,105.4
1101177,Wholesale,Crooks Group,TV810,Understanding Automation,10,44.95,8.99,440.51
1101178,Wholesale,McCullough LLC,DK201,BYOD-100,12,54,10.8,637.2
1101179,Retail,Salome Glashby,EB520,Understanding Arduino,1,17.5,0,17.5
1101180,Wholesale,Schinner Inc.,BP106,Hexacopter Drone Blueprint,12,8.99,1.8,106.08
1101181,Retail,Nolan Wirth,EB507,Drone Building Essentials,1,13.99,0,13.99
1101182,Retail,Steve Klein-Emmerich,DS305,DTI-84 Drone,1,455,0,455
1101183,Retail,Kaye Hissett,RS706,RWW-75 Robot,2,883,0,1766
1101184,Wholesale,Balistreri Group,TV808,Robotic Essentials,12,34.99,7,412.88
1101185,Retail,Jammie Minelli,RK603,BYOR-1500,1,189,0,189
1101186,Wholesale,Stehr Group,BP102,Bsquare Robot Blueprint,6,8.99,1.8,52.14
1101187,Wholesale,Hammes Inc.,BP101,All Eyes Drone Blueprint,89,9.99,2,887.11
1101188,Wholesale,Frami LLC,TV802,AI for Educators,58,49.95,9.99,2887.11
1101189,Retail,Pate Donativo,DS302,DC-304 Drone,1,395,0,395
1101190,Wholesale,Casper-Brown,TV813,Virtual Reality Basics,54,29.99,6,1613.46
1101191,Retail,Demetris Heinschke,RK606,BYOR-3535,1,225,0,225
1101192,Retail,Prentiss Redgrove,DS306,DX-145 Drone,1,250,0,250
1101193,Retail,Arlen Danilyuk,BP104,Cat Robot Blueprint,1,4.99,0,4.99
1101194,Wholesale,Schinner Inc.,EB513,Photograph Drones,10,14.99,3,146.9
1101195,Wholesale,Mills Inc.,DK201,BYOD-100,9,54,10.8,475.2
1101196,Wholesale,Bechtelar LLC,EB503,Building Your Own Drone,10,24.99,5,244.9
1101197,Retail,Gary Renner,TV811,Understanding Drone Regulations,1,27.5,0,27.5
1101198,Wholesale,Wilderman Inc.,BP105,Creature Robot Arms Blueprint,104,12,2.4,1245.6
1101199,Retail,Celestyn Ibel,DS306,DX-145 Drone,1,250,0,250
1101200,Wholesale,Hudson LLC,DS306,DX-145 Drone,38,250,50,9450
1101201,Wholesale,Deckow Inc.,DK209,BYOD-550,10,179,35.8,1754.2
1101202,Retail,Stephanus Macenzy,EB504,Cartesian Robots,1,12.99,0,12.99
1101203,Wholesale,McGlynn Group,TV805,Industrial 3D Printing,9,49,9.8,431.2
1101204,Retail,Diarmid Teodorski,DS306,DX-145 Drone,1,250,0,250
1101205,Wholesale,Ferry Group,RK603,BYOR-1500,7,189,37.8,1285.2
1101206,Retail,Shane Langworth,TV806,Mapping with Drones,1,49,0,49
1101207,Wholesale,Pouros Inc.,DS306,DX-145 Drone,4,250,50,950
1101208,Wholesale,Auer Inc.,BP107,Ladybug Robot Blueprint,4,12,2.4,45.6
1101209,Wholesale,Kuhic Inc.,EB521,Understanding Artificial Intelligence,3,19.5,3.9,54.6
1101210,Retail,Josephina Dangerfield,DS301,DA-SA702 Drone,1,399,0,399
1101211,Retail,Barton Lockman,EB511,Helicopter Drones,1,20.95,0,20.95
1101212,Wholesale,Cremin LLC,DK203,BYOD-220,23,69,13.8,1573.2
1101213,Retail,Yalonda Dulany,DK204,BYOD-300,1,89,0,89
1101214,Wholesale,Schaefer Inc.,DK206,BYOD-400,5,119,23.8,571.2
1101215,Wholesale,Grant LLC,DK201,BYOD-100,11,54,10.8,583.2
1101216,Wholesale,Trantow Technologies,DK206,BYOD-400,3,119,23.8,333.2
1101217,Wholesale,Hayes LLC,TV813,Virtual Reality Basics,10,29.99,6,293.9
1101218,Wholesale,Gibson Group,DS303,DTD-7000 Drone,8,450,90,3510
1101219,Retail,Antonio Fisher,DS303,DTD-7000 Drone,1,450,0,450
1101220,Retail,Julio Learoyd,EB513,Photograph Drones,1,14.99,0,14.99
1101221,Wholesale,Boyer LLC,DK202,BYOD-200,4,58.95,11.79,224.01
1101222,Retail,Marco Frizzell,DS301,DA-SA702 Drone,1,399,0,399
1101223,Wholesale,Mann LLC,EB504,Cartesian Robots,8,12.99,2.6,101.32
1101224,Wholesale,Bergstrom LLC,TV802,AI for Educators,11,49.95,9.99,539.46
1101225,Retail,Peg Claire,BP108,Panda Robot Blueprint,1,7.99,0,7.99
1101226,Wholesale,Beatty LLC,EB508,Fixed Wing Drones,10,15.5,3.1,151.9
1101227,Wholesale,Conn Inc.,DS303,DTD-7000 Drone,83,450,90,37260
1101228,Wholesale,Turcotte Corp,DK201,BYOD-100,89,54,10.8,4795.2
1101229,Retail,Rau Nesby,BP108,Panda Robot Blueprint,1,7.99,0,7.99
1101230,Wholesale,Hills Group,DS305,DTI-84 Drone,5,455,91,2184
1101231,Retail,Forester Taillant,EB502,Building Your First Robot,1,24.95,0,24.95
1101232,Wholesale,Donnelly Group,BP104,Cat Robot Blueprint,5,4.99,1,23.95
1101233,Retail,Agnella Paridge,DS306,DX-145 Drone,1,250,0,250
1101234,Wholesale,WPS Technologies,RK605,BYOR-3000,6,214,42.8,1241.2
1101235,Wholesale,Kuhlman Inc.,RK603,BYOR-1500,11,189,37.8,2041.2
1101236,Retail,Gabriel Legros,EB504,Cartesian Robots,1,12.99,0,12.99
1101237,Wholesale,Blue Sky Kites,RK605,BYOR-3000,5,214,42.8,1027.2
1101238,Wholesale,Erdman LLC,TV801,Aerial Security,12,36.99,7.4,436.48
1101239,Retail,Oralie Ledley,DK204,BYOD-300,1,89,0,89
1101240,Retail,Rafaellle Borthram,EB503,Building Your Own Drone,1,24.99,0,24.99
1101241,Retail,Cirilo Totman,DK208,BYOD-500,1,167,0,167
1101242,Retail,Stanton LeEstut,BP104,Cat Robot Blueprint,1,4.99,0,4.99
1101243,Wholesale,Feil LLC,BP108,Panda Robot Blueprint,5,7.99,1.6,38.35
1101244,Retail,Wang Fallanche,RK607,BYOR-4005,1,245,0,245
1101245,Wholesale,Bins Inc.,RK603,BYOR-1500,8,189,37.8,1474.2
1101246,Wholesale,Ledner LLC,EB518,Single Rotor Drones,7,14.99,3,101.93
1101247,Retail,April Persich,BP110,Upside Down Robot Blueprint,1,12,0,12
1101248,Wholesale,Schinner Inc.,BP107,Ladybug Robot Blueprint,70,12,2.4,837.6
1101249,Retail,Ulrika Attril,BP110,Sleepy Eye Blueprint,1,11.99,0,11.99
1101250,Wholesale,Gusikowski Group,EB508,Fixed Wing Drones,6,15.5,3.1,89.9
1101251,Wholesale,Kohler Inc.,TV813,Virtual Reality Basics,9,29.99,6,263.91
1101252,Retail,Livvyy Albion,RK605,BYOR-3000,1,214,0,214
1101253,Wholesale,Torp Inc.,EB503,Building Your Own Drone,3,24.99,5,69.97
1101254,Wholesale,Pouros Inc.,TV808,Robotic Essentials,3,34.99,7,97.97
1101255,Wholesale,Dickens LLC,EB504,Cartesian Robots,9,12.99,2.6,114.31
1101256,Wholesale,Lind Group,RK606,BYOR-3535,13,225,45,2880
1101257,Wholesale,Koss Industries,EB509,GPS Drones,10,19.99,4,195.9
